country,year,production_tonnes,pesticides_tonnes,nitrogen_kilo_per_acre
World,2007,50573120.0,2736726.5,60.46
Australia,2008,1214373.0,42935.38,30.83
Canada,2008,12644900.0,53707.3,44.45
China,2008,12101700.0,315666.6,210.63
France,2008,4721288.0,78577.0,97.78
Germany,2008,5154700.0,43413.01,102.25
India,2008,5834000.0,14485.33,87.75
Poland,2008,2105840.0,20611.02,70.57
World,2008,56873224.0,2786794.2,59.55
Australia,2009,1844157.0,38065.69,27.8
Canada,2009,12898100.0,54529.4,45.04
China,2009,13657000.0,322594.16,213.92
France,2009,5588526.5,63676.0,88.72
Germany,2009,6306700.0,39289.43,103.35
India,2009,7200700.0,28707.01,91.67
Poland,2009,2496825.0,18493.03,65.84
World,2009,62208710.0,2691522.0,60.9
Australia,2010,1907272.0,42169.39,34.03
Canada,2010,12788600.0,61050.0,48.76
China,2010,13082000.0,331881.25,219.35
France,2010,4815239.0,61903.0,95.21
Germany,2010,5697595.0,40832.42,118.65
India,2010,6608100.0,40093.69,97.21
Poland,2010,2228676.0,19449.02,77.8
World,2010,59861340.0,2989647.0,63.3
Australia,2011,2358735.0,47632.98,30.83
Canada,2011,14608100.0,62107.2,59.83
China,2011,13426000.0,337317.6,225.06
France,2011,5369011.0,61351.89,90.76
Germany,2011,3869500.0,44429.92,108.68
India,2011,8179000.0,55540.0,102.54
Poland,2011,1861807.0,21779.27,76.23
World,2011,62768652.0,3015972.2,65.09
Australia,2012,3427294.0,48687.88,31.64
Canada,2012,13868500.0,73508.9,66.53
China,2012,14007307.0,340922.94,230.1
France,2012,5463185.5,63844.29,94.5
Germany,2012,4821100.0,46204.26,109.61
India,2012,6600000.0,52980.0,99.33
Poland,2012,1865598.0,21885.99,83.31
World,2012,62650616.0,3169518.0,64.83
Australia,2013,4141731.0,45177.19,34.79
Canada,2013,18551000.0,81659.8,58.35
China,2013,14458015.0,341224.97,232.68
France,2013,4366200.0,66676.69,101.11
Germany,2013,5784300.0,44039.03,110.98
India,2013,7820000.0,45620.0,98.85
Poland,2013,2677665.0,22204.46,78.43
World,2013,73170184.0,3210138.2,65.77
Australia,2014,3832049.0,49857.35,39.13
Canada,2014,16410100.0,76314.0,59.9
China,2014,14772200.0,340394.4,235.38
France,2014,5524094.0,75339.2,100.55
Germany,2014,6247400.0,46777.65,120.79
India,2014,7877000.0,56267.67,100.02
Poland,2014,3275806.0,23556.67,71.03
World,2014,74508616.0,3220249.8,66.33
Australia,2015,3540021.0,50921.6,37.34
Canada,2015,18376500.0,75318.3,60.4
China,2015,13859000.0,336562.56,235.31
France,2015,5334404.0,66896.92,103.56
Germany,2015,5016800.0,48002.64,113.56
India,2015,6282000.0,56720.12,102.54
Poland,2015,2700776.0,24006.12,73.98
World,2015,70278170.0,3255128.5,65.4
Australia,2016,2775479.0,63416.48,43.67
Canada,2016,19599200.0,90926.0,57.22
China,2016,13128000.0,328540.16,233.54
France,2016,4742935.0,72064.82,101.95
Germany,2016,4579600.0,47027.57,110.93
India,2016,6797000.0,58634.43,98.84
Poland,2016,2219270.0,24463.0,82.19
World,2016,68242264.0,3379276.8,66.04
Australia,2017,4313230.0,60201.36,43.27
Canada,2017,21328100.0,98304.0,57.49
China,2017,13274100.0,312419.9,228.38
France,2017,5317377.0,70603.5,108.54
Germany,2017,4268400.0,48420.18,100.02
India,2017,7917230.0,63405.78,100.41
Poland,2017,2697265.0,25076.0,83.52
World,2017,76574584.0,3316950.0,66.87
Australia,2018,3893071.0,63416.48,40.57
Canada,2018,20723500.0,87632.0,64.13
China,2018,13281200.0,283822.47,218.81
France,2018,4980540.0,85072.22,102.07
Germany,2018,3677200.0,45079.86,90.01
India,2018,8429850.0,59669.93,104.45
Poland,2018,2105610.0,23178.0,69.99
World,2018,75564170.0,3292014.0,66.06
Australia,2019,2365839.2,63416.48,38.93
Canada,2019,19912300.0,78893.0,59.52
China,2019,13484700.0,262700.0,180.04
France,2019,3523300.0,54366.97,95.53
Germany,2019,2830200.0,45301.23,92.14
India,2019,9255660.0,61701.9,111.84
Poland,2019,2268850.0,24281.0,72.56
World,2019,71827810.0,3382370.2,63.71
Australia,2020,2298529.2,63416.48,38.84
Canada,2020,19484700.0,92960.0,71.39
China,2020,14049100.0,247844.44,172.38
France,2020,3289960.0,64858.85,102.17
Germany,2020,3527300.0,48332.97,85.35
India,2020,9123640.0,61701.9,121.42
Poland,2020,2982880.0,24168.0,63.28
World,2020,72389630.0,3398783.5,66.9
Australia,2021,4756388.0,63416.48,38.04
Canada,2021,14248281.0,92960.0,66.27
China,2021,14713500.0,233876.05,166.4
France,2021,3306520.0,69602.42,87.26
Germany,2021,3504600.0,49071.47,73.98
India,2021,10210010.0,61701.9,115.97
Poland,2021,3050910.0,26534.0,63.67
World,2021,71958180.0,3531959.0,65.45
Australia,2022,6820287.0,,
Canada,2022,18694768.0,,
China,2022,15531400.0,,
France,2022,4516540.0,,
Germany,2022,4294900.0,,
India,2022,11963090.0,,
Poland,2022,3487070.0,,
World,2022,87221224.0,,
